name,x,y
高米店南,116.332,39.7635
高米店北,116.331,39.7736
西红门,116.329,39.7896
新宫,116.366,39.8123
公益西桥,116.371,39.837
角门西,116.371,39.8459
马家堡,116.371,39.8533
北京南站,116.379,39.8652
陶然亭,116.374,39.8786
菜市口,116.374,39.8893
宣武门,116.374,39.8998
西单,116.376,39.9072
灵境胡同,116.374,39.9161
西四,116.373,39.9242
平安里,116.372,39.9327
新街口,116.368,39.9407
西直门,116.353,39.942
动物园,116.339,39.9383
国家图书馆,116.325,39.9432
魏公村,116.323,39.9578
人民大学,116.321,39.9669
海淀黄庄,116.318,39.976
中关村,116.316,39.9839
北京大学东门,116.316,39.9921
圆明园,116.31,39.9995
西苑,116.291,39.9983
北宫门,116.278,40.0024
安河桥北,116.27,40.0119
T2航站楼,116.593,40.0795
T3航站楼,116.616,40.0531
三元桥,116.457,39.9614
东直门,116.435,39.9424
俸伯,116.685,40.1326
顺义,116.657,40.13
石门,116.641,40.1299
南法信,116.609,40.1284
后沙峪,116.564,40.1141
花梨坎,116.558,40.0844
国展,116.555,40.0701
孙河,116.535,40.0452
马泉营,116.504,40.0338
崔各庄,116.493,40.0223
望京东,116.487,40.0018
望京,116.468,39.9973
望京西,116.447,39.995
关庄,116.428,40.0016
安立路,116.408,40.0027
奥林匹克公园,116.393,40.0023
北沙滩,116.369,40.0015
六道口,116.353,40.001
清华东路西口,116.339,40.0007
潞城,116.753,39.9014
东夏园,116.736,39.9029
郝家府,116.72,39.9024
北运河东,116.704,39.902
北运河西,116.69,39.9028
通运门,116.677,39.91
通州北关,116.66,39.9202
物资学院路,116.639,39.9269
草房,116.615,39.9244
常营,116.6,39.9257
黄渠,116.578,39.9242
褡裢坡,116.563,39.924
青年路,116.518,39.9232
十里堡,116.502,39.9231
金台路,116.478,39.9229
呼家楼,116.462,39.9232
东大桥,116.452,39.9231
朝阳门,116.433,39.9244
东四,116.417,39.9244
南锣鼓巷,116.403,39.9331
北海北,116.387,39.9333
平安里,116.372,39.9327
车公庄,116.355,39.9324
车公庄西,116.344,39.9325
白石桥南,116.325,39.933
花园桥,116.31,39.9324
慈寿寺,116.294,39.933
海淀五路居,116.277,39.9326
红庙,116.478,39.9156
大望路,116.478,39.9083
九龙山,116.478,39.8932
平乐园,116.477,39.8844
松榆,116.477,39.8757
南八里庄,116.47,39.8679
十里河,116.458,39.8659
方庄,116.433,39.8658
蒲黄榆,116.422,39.8657
安乐林,116.409,39.8651
永定门外,116.399,39.8683
陶然桥,116.388,39.8713
北京南站,116.379,39.8652
右安门外,116.365,39.8627
西铁营,116.354,39.8611
菜户营,116.343,39.8681
丽泽商务区,116.336,39.8681
东管头,116.321,39.8679
善各庄,116.476,40.0263
来广营,116.467,40.0206
东湖渠,116.467,40.0102
望京,116.468,39.9973
阜通,116.47,39.9927
望京南,116.478,39.9876
高家园,116.489,39.9806
将台,116.49,39.9713
东风北桥,116.487,39.9576
枣营,116.474,39.9443
朝阳公园,116.478,39.9337
金台路,116.478,39.9229
西局,116.304,39.8665
七里庄,116.294,39.8675
大井,116.276,39.8652
郭庄子,116.253,39.8644
大瓦窑,116.24,39.8592
园博园,116.202,39.8613
张郭庄,116.187,39.8584
